N,P,K,temperature,humidity,ph,rainfall,Total_Nutrients,Temperature_Humidity,Log_Rainfall,Label
0.37142857142857144,0.48571428571428577,0.37,0.24457386678553517,0.052393825791011484,0.6748853910797509,0.2648625179919084,0.5095367847411444,0.019330499456617994,4.553907124,lettuce
0.5642857142857143,0.38571428571428573,0.060000000000000005,0.3351373815861445,0.5772077214855208,0.4884499634741951,0.3170221846319111,0.37602179836512256,0.27570001401191324,4.695974243,barley
0.17142857142857143,0.9,0.955,0.3830822467263201,0.810576044425786,0.3463397491435428,0.16179002844380802,0.9100817438692097,0.41924005122445257,4.194859476,cherries
0.09999999999999999,0.8285714285714285,0.9900000000000001,0.026069529549404613,0.8106218720528983,0.41277499305906207,0.19458978146785263,0.874659400544959,0.14833509604659345,4.323657199,cherries
0.6071428571428571,0.11428571428571428,0.21000000000000002,0.610494469861034,0.890665750210558,0.4171518247990258,0.015599067527750324,0.37057220708446864,0.6457152055216129,3.246382224,raspberries
0.04285714285714286,0.5142857142857142,0.07500000000000001,0.4919829343767411,0.5368820625645309,0.39712875717909646,0.10352168860371563,0.23433242506811988,0.3428583836738695,3.914886338,peas
0.5928571428571429,0.37857142857142856,0.2,0.49104964134963724,0.8079460104703061,0.3686116303263509,0.8103193101325534,0.46049046321525877,0.4996436909236495,5.508021735,wheat
0.8642857142857142,0.2857142857142857,0.08499999999999999,0.3954520969537145,0.7821485065550532,0.457211481796438,0.1577829280110429,0.4659400544959128,0.41424159869596877,4.17792357,potatoes
0.11428571428571428,0.5142857142857142,0.08499999999999999,0.6572332012211776,0.2494232950578103,0.4775400660413064,0.28839834253596086,0.26702997275204354,0.2292080173007347,4.620519934,cauliflower
0.02857142857142857,0.007142857142857145,0.010000000000000002,0.4114257501184996,0.8965954634914018,0.49853196409075384,0.33201412996310675,0.0,0.48534388436693715,4.733333204,blackcurrants
0.11428571428571428,0.07142857142857142,0.185,0.31478500583764324,0.8729347696877802,0.5268829341627029,0.3171711611336008,0.15258855585831063,0.3950613869619158,4.696352433,turnips
